COUNT    | EVENT ACTION
       1 | event.action:change_group_setting
       1 | event.action:create_data_transfer_request
       1 | event.action:create_gmail_setting
       1 | event.action:createcluster
       1 | event.action:createdbinstance
       1 | event.action:createdbsecuritygroup
       1 | event.action:createinstanceexporttask
       1 | event.action:createremotethread detected rule:createremotethread
       1 | event.action:deletedbsecuritygroup
       1 | event.action:disable-safeattachmentrule
       1 | event.action:disable-safelinksrule
       1 | event.action:disabledomaintransferlock
       1 | event.action:file system
       1 | event.action:getsecretvalue
       1 | event.action:image loaded rule:imageload
       1 | event.action:meeting.created
       1 | event.action:move_user_to_org_unit
       1 | event.action:new-managementroleassignment
       1 | event.action:new-transportrule
       1 | event.action:overwrite
       1 | event.action:pipe created*
       1 | event.action:policy.rule.delete
       1 | event.action:potential ransomware activity
       1 | event.action:remove-antiphishpolicy
       1 | event.action:remove-antiphishrule
       1 | event.action:remove-dlppolicy
       1 | event.action:remove-malwarefilterpolicy
       1 | event.action:remove-malwarefilterrule
       1 | event.action:remove-transportrule
       1 | event.action:renamed-user-account
       1 | event.action:replaceroute
       1 | event.action:restoredbinstancefromdbsnapshot
       1 | event.action:rules_engine_event
       1 | event.action:scheduled-task-created
       1 | event.action:scheduled-task-updated
       1 | event.action:service-installed
       1 | event.action:set- csteamsclientconfiguration
       1 | event.action:set- cstenantfederationconfiguration
       1 | event.action:set-dkimsigningconfig
       1 | event.action:set-mailboxauditbypassassociation
       1 | event.action:startexporttask
       1 | event.action:teamstenantsettingchanged
       1 | event.action:transferdomaintoanotherawsaccount
       1 | event.action:unusual volume of file deletion
       1 | event.action:update conditional access policy
       1 | event.action:updated
       1 | event.action:user restricted from sending email
       1 | event.action:user.account.privilege.grant
       1 | event.action:user.session.impersonation.initiate
       1 | event.action:zone.deactivate
       1 | event.action:zone.delete

