COUNT    | REGISTRY PATH
       2 | registry.path:("HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Terminal Serve r\\Install\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\*", "HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Terminal Serve r\\Install\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Runonce\\*", "HKEY_USERS\\*\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Windows\\Load", "HKEY_USERS\\*\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Windows\\Run", "HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Windows\\IconServiceLib", "HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\Shell", "HKEY_USERS\\*\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\Shell", "HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\AppSetup", "HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\Taskman", "HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\Userinit", "HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\VmApplet", "HKLM\\SOFTWARE\\Micros oft\\Windows\\CurrentVersion\\Policies\\Explorer\\Run\\*", "HKLM \\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Policies\\System\\Shel l", "HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows\\System\\Scrip ts\\Logoff\\Script", "HKLM\\SOFTWARE\\Policies\\Microsoft\\Windo ws\\System\\Scripts\\Logon\\Script", "HKLM\\SOFTWARE\\Policies\\ Microsoft\\Windows\\System\\Scripts\\Shutdown\\Script", "HKLM\\S OFTWARE\\Policies\\Microsoft\\Windows\\System\\Scripts\\Startup\\Scrip t", "HKEY_USERS\\*\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion \\Policies\\Explorer\\Run\\*", "HKEY_USERS\\*\\SOFTWARE\\Microso ft\\Windows\\CurrentVersion\\Policies\\System\\Shell", "HKEY_USE RS\\*\\SOFTWARE\\Policies\\Microsoft\\Windows\\System\\Scripts\\Logoff \\Script", "HKEY_USERS\\*\\SOFTWARE\\Policies\\Microsoft\\Window s\\System\\Scripts\\Logon\\Script", "HKEY_USERS\\*\\SOFTWARE\\Po licies\\Microsoft\\Windows\\System\\Scripts\\Shutdown\\Script", "HKEY_USERS\\*\\SOFTWARE\\Policies\\Microsoft\\Windows\\System\\Script s\\Startup\\Script", "HKLM\\SOFTWARE\\Microsoft\\Active Setup\\Installed Components\\*\\ShellComponent", "HKLM\\SOFTWARE\\Microsoft\\Windows CE Services\\AutoStartOnConnect\\MicrosoftActiveSync", "HKLM\\SOFTWARE\\Microsoft\\Windows CE Services\\AutoStartOnDisconnect\\MicrosoftActiveSync", "HKLM\\SOFTWARE\\Microsoft\\Ctf\\LangBarAddin\\*\\FilePath", "HKLM\\SOFTWARE\\Microsoft\\Internet Explorer\\Extensions\\*\\Exec", "HKLM\\SOFTWARE\\Microsoft\\Internet Explorer\\Extensions\\*\\Script", "HKLM\\SOFTWARE\\Microsoft\\Command Processor\\Autorun", "HKEY_USERS\\*\\SOFTWARE\\Microsoft\\Ctf\\LangBarAddin\\*\\FilePath", "HKEY_USERS\\*\\SOFTWARE\\Microsoft\\Internet Explorer\\Extensions\\*\\Exec", "HKEY_USERS\\*\\SOFTWARE\\Microsoft\\Internet Explorer\\Extensions\\*\\Script", "HKEY_USERS\\*\\SOFTWARE\\Microsoft\\Command Processor\\Autorun", "HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Image File Execution Options\\*\\VerifierDlls", "HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\GpExtensions\\*\\DllName", "HKLM\\SYSTEM\\ControlSet*\\Control\\SafeBoot\\AlternateShell", "HKLM\\SYSTEM\\ControlSet*\\Control\\Terminal Server\\Wds\\rdpwd\\StartupPrograms", "HKLM\\SYSTEM\\ControlSet*\\Control\\Terminal Server\\WinStations\\RDP-Tcp\\InitialProgram", "HKLM\\SYSTEM\\ControlSet*\\Control\\Session Manager\\BootExecute", "HKLM\\SYSTEM\\ControlSet*\\Control\\Session Manager\\SetupExecute", "HKLM\\SYSTEM\\ControlSet*\\Control\\Session Manager\\Execute", "HKLM\\SYSTEM\\ControlSet*\\Control\\Session Manager\\S0InitialCommand", "HKLM\\SYSTEM\\ControlSet*\\Control\\ServiceControlManagerExtension", "HKLM\\SYSTEM\\ControlSet*\\Control\\BootVerificationProgram\\ImagePat h", "HKLM\\SYSTEM\\Setup\\CmdLine", "HKEY_USERS\\*\\Environment\\UserInitMprLogonScript")
       2 | registry.path:("HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Windows\\AppInit_Dlls", "HKLM\\SOFTWARE\\Wow6432Node\\Microsoft\\Windows NT\\CurrentVersion\\Windows\\AppInit_Dlls")
       2 | registry.path:("HKLM\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Policies\\System\ \EnableLUA", "HKLM\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion \\Policies\\System\\ConsentPromptBehaviorAdmin", "HKLM\\SOFTWARE \\Microsoft\\Windows\\CurrentVersion\\Policies\\System\\PromptOnSecure Desktop")
       2 | registry.path:("HKLM\\SYSTEM\\*ControlSet*\\Control\\Lsa\\Security Packages*", "HKLM\\SYSTEM\\*ControlSet*\\Control\\Lsa\\OSConfig\\Security Packages*")
       2 | registry.path:("HKLM\\SYSTEM\\ControlSet*\\Services\\*\\ServiceDLL", "HKLM\\SYSTEM\\ControlSet*\\Services\\*\\ImagePath")
       2 | registry.path:("HKU\\S-1-5-21-*\\SOFTWARE\\Microsoft\\Office\\*\\Security\\AccessVBOM ", "HKU\\S-1-5-21-*\\SOFTWARE\\Microsoft\\Office\\*\\Security\ \VbaWarnings")
       1 | registry.path:"*\\SOFTWARE\\Google\\Chrome\\DnsOverHttpsMode"
       1 | registry.path:"*\\SOFTWARE\\Policies\\Microsoft\\Edge\\BuiltInDnsClientEnabled"
       1 | registry.path:"*\\SOFTWARE\\Policies\\Mozilla\\Firefox\\DNSOverHTTPS"
       1 | registry.path:"HKEY_USERS\\*\\Software\\Microsoft\\Windows Script\\Settings\\AmsiEnable"
       1 | registry.path:"HKL M\\SYSTEM\\*ControlSet*\\Services\\*\\NetworkProvider\\ProviderPath"
       1 | registry.path:"HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Print\\Printers\\*\\CopyFiles\\Payload\\Module"
       1 | registry.path:"HKLM\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Print\\Printers\\*\\SpoolDirectory"
       1 | registry.path:"HKLM\\SOFTWARE\\Microsoft\\Windows\\Windows Error Reporting\\LocalDumps\\DumpType"
       1 | registry.path:"HKLM\\SYSTEM\\ *ControlSet*\\Services\\W32Time\\TimeProviders\\*"
       1 | registry.path:"HKLM\\SYSTEM\\*ControlSet*\\Control\\Lsa\\Authentication Packages"
       1 | registry.path:"HKLM\\SYSTEM\\*ControlSet*\\Control\\Securit yProviders\\WDigest\\UseLogonCredential"
       1 | registry.path:"HKLM\\SYSTEM\\*ControlSet*\\Control\\Security Providers\\WDigest\\UseLogonCredential"
       1 | registry.path:"HKLM\\SYSTEM\\*ControlSet*\\Control\\Terminal Server\\fDenyTSConnections"
       1 | registry.path:"HKLM\\SYSTEM\\*ControlSet*\\services\\ LanmanServer\\Parameters\\NullSessionPipes"
       1 | registry.path:"HKLM\\SYSTEM\\ControlSet*\\Control\\Terminal Server\\fDenyTSConnections"
       1 | registry.path:"HKLM\\SYSTEM\\ControlSet*\\Services\\*\\ImagePath"
       1 | registry.path:"HKLM\\System\\ControlSet*\\Services\\WinDefend\\Start"
       1 | registry.path:("HKEY_USERS\\*\\Software\\Micro soft\\Windows\\CurrentVersion\\Explorer\\RunMRU\\*")
       1 | registry.path:("HKEY_USERS\\*\\Software\\Microsoft\\Windows Script\\Settings\\AmsiEnable", "HKU\\*\\Software\\Microsoft\\Windows Script\\Settings\\AmsiEnable")
       1 | registry.path:("HKEY_USERS\\*\\Software\\Microsoft\\Windows\\Current Version\\Explorer\\RunMRU\\*")
       1 | registry.path:("HKEY_USERS\\*Classes\\*\\InprocXServer32\\", "HKEY_USERS\\*Classes\\*\\LocalServer32\\", "HKEY_USERS\\*Classes\\*\\DelegateExecute\\", "HKEY_USERS\\*Classes\\*\\TreatAs\\", "HKEY_USERS\\*Classes\\CLSID\\*\\ScriptletURL\\")
       1 | registry.path:("HKLM\\SOFTWARE\\Microsoft\\Cryptography\\OID\\EncodingType 0\\CryptSIPDllPutSignedDataMsg\\{*}\\Dll", "HKLM\\SOFTWARE\\WOW643 2Node\\Microsoft\\Cryptography\\OID\\EncodingType 0\\CryptSIPDllPutSignedDataMsg\\{*}\\Dll", "HKLM\\SOFTWARE\\Micros oft\\Cryptography\\Providers\\Trust\\FinalPolicy\\{*}\\$Dll", "HKL M\\SOFTWARE\\WOW6432Node\\Microsoft\\Cryptography\\Providers\\Trust\\F inalPolicy\\{*}\\$Dll")
       1 | registry.path:("HKLM\\Software\\Microsoft\\SystemCertific ates\\Root\\Certificates\\*\\Blob", "HKLM\\Software\\Microsoft\\ SystemCertificates\\AuthRoot\\Certificates\\*\\Blob", "HKLM\\Sof tware\\Policies\\Microsoft\\SystemCertificates\\Root\\Certificates\\*\ \Blob", "HKLM\\Software\\Policies\\Microsoft\\SystemCertificates \\AuthRoot\\Certificates\\*\\Blob")
       1 | registry.path:("HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Explorer\\User Shell Folders\\Common Startup", "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Explorer\\Shell Folders\\Common Startup", "HKEY_USERS\\*\\Software\\Microsoft\\Wi ndows\\CurrentVersion\\Explorer\\User Shell Folders\\Startup", "H KEY_USERS\\*\\Software\\Microsoft\\Windows\\CurrentVersion\\Explorer\\ Shell Folders\\Startup")
       1 | registry.path:("HKLM\\SYSTEM\\*ControlSet*\\Control\\Print\\Monitors\\*", "HKLM\ \SYSTEM\\*ControlSet*\\Control\\Print\\Environments\\Windows*\\Print Processors\\*")
       1 | registry.path:("HKLM\\SYSTEM\\*ControlSet*\\Control\\Print\\Monitors\\*", "HLLM\ \SYSTEM\\*ControlSet*\\Control\\Print\\Environments\\Windows*\\Print Processors\\*")
       1 | registry.path:("HKLM\\SYSTEM\\CurrentControlSet\\Control\\Lsa\\Security Packages*", "HKLM\\SYSTEM\\CurrentControlSet\\Control\\Lsa\\OSConfig\\Security Packages*")
       1 | registry.path:(/* Machine Hive */ "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\*", "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce\\*", "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnceEx\\*", "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Explorer\\User Shell Folders\\*", "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Explorer\\Shell Folders\\*", "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion \\Policies\\Explorer\\Run\\*", "HKLM\\Software\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\Shell\\*", /* Users Hive */ "HKEY_USERS\\*\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\*", "HKEY_USERS\\*\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce\ \*", "HKEY_USERS\\*\\Software\\Microsoft\\Windows\\CurrentVersio n\\RunOnceEx\\*", "HKEY_USERS\\*\\Software\\Microsoft\\Windows\\ CurrentVersion\\Explorer\\User Shell Folders\\*", "HKEY_USERS\\* \\Software\\Microsoft\\Windows\\CurrentVersion\\Explorer\\Shell Folders\\*", "HKEY_USERS\\*\\Software\\Microsoft\\Windows\\Curre ntVersion\\Policies\\Explorer\\Run\\*", "HKEY_USERS\\*\\Software\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\Shell\\*")
       1 | registry.path:(/* Machine Hive */ "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\*", "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce\\*", "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnceEx\\*", "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\Explore r\\Run\\*", "HKLM\\Software\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\Shell\\*", /* Users Hive */ "HKEY_USERS\\*\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\*", "HKEY_USERS\\*\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce\ \*", "HKEY_USERS\\*\\Software\\Microsoft\\Windows\\CurrentVersio n\\RunOnceEx\\*", "HKEY_USERS\\*\\Software\\Microsoft\\Windows\\C urrentVersion\\Policies\\Explorer\\Run\\*", "HKEY_USERS\\*\\Software\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\Shell\\*")
       1 | registry.path:(/* Machine Hive */ "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\*", "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce\\*", "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnceEx\\*", "HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\Explore r\\Run\\*", "HKLM\\Software\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\Shell\\*", /* Users Hive */ "HKEY_USERS\\*\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\*", "HKEY_USERS\\*\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce\ \*", "HKEY_USERS\\*\\Software\\Microsoft\\Windows\\CurrentVersion \\RunOnceEx\\*", "HKEY_USERS\\*\\Software\\Microsoft\\Windows\\Cu rrentVersion\\Policies\\Explorer\\Run\\*", "HKEY_USERS\\*\\Software\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\Shell\\*")
